example_portuguese_sentence,example_libras_sentence
aquele homem é forte.,homem aquelo forte.
o ronaldo chuta a bola muito forte.,ronaldo bola chutar fortemuito.
eu ganhei uma fortuna no loteria.,eu ganhar loteria fortuna.
você tem fósforo? preciso acender a vela.,ter fósforo? precisar acendervela.
eu vi uma foto de uma mulher pelada em uma praia deserta.,praia deserto foto eu ver mulher pelado.
"quando eu viajar para o rio de janeiro, vou fotografar o corcovado.",eu viajar riodejaneiro eu fotografar corcovado.
eu fotografei a festa de meu filho.,festa meo filho eu já fotografar.
eu já revelei as fotografias da festa de meu filho.,fotografia festa filho revelar já.
meu cachorro está doente e fraco. precisa ser vacinado.,cachorro meo doente fraco precisar vacinar.
o copo caiu no chão em fragmentos.,cuidado copo coisaredondacair vidro fragmento pé cortarpé
eu comprei uma colônia de fragrância muito boa!,eu comprar perfume fragrância colônia boomuito.
preciso comprar fraldas no supermercado.,precisar comprar fralda supermercado.
futuramente eu vou viajar para frança com minha esposa.,futuro eu viajar frança junto esposo.
meu bisavô era francês.,bisavô meo francês.
"gosto de você, porque você é sempre franco.",você franco sempre eu gostar.
eu adoro frango assado.,frango assado adorar.
ele tem dificuldade de escrever frases em português.,elo difículdade escrever frase português.
minha vovó escorregou no banheiro e fraturou o osso da perna.,vovó meo banheiro pessoaescorregar perna fraturar.
o chefe fraudou os documentos da firma.,firma documento chefe fraudar.
vi o motorista frear em cima do sinal.,eu ver motorista sinal frear forte.
você já guardou as cervejas no freezer?,freezer cerveja guardar já?
"o freio do meu carro está ruim, preciso trocá-lo.",freio carro ruim precisar trocar.
minha casa é perto de uma escola de freiras.,casa meo perto escola freira.
meu amigo tem uma casa em frente à praia.,meo amigo ter praia casa frente.
"aos sábados, eu freqüento o baile.",sábado todo eu freqüentar sempre baile.
o dia de hoje está fresco.,hoje dia boo fresco.
meu primo sempre é fresco.,primo meo sempre fresco.
toda sexta-feira eu compro peixe fresco.,todo sextafeira manhã eu comprar peixe fresco.
eu gosto de jogar frescobol na praia.,praia frescobol eu gostar.
comprei um caminhão para fretar mercadorias.,caminhão comprar coisa fretar .
vou mudar de casa no mês que vem e preciso procurar um frete mais barato.,"mês depois eu casa mudar, precisar procurar frete barato."
"por favor, pegue a frigideira para eu fritar a carne.",porfavor pegar coisaarredondadafrigideira eu carne fritar.
"hoje, na praia, a água estava muito fria.",hoje praia água frio fortemuito.
você sabe fritar bifes?,bife fritar você saber?
está com fome? espere um pouco que vou fritar um ovo.,você fome? esperar pouco ovo fritar.
eu já fui à fronteira do brasil com o paraguai.,eu já ver brasil paraguai fronteira.
"fiquei frustrado, pois fui a empresa e a mulher falou que não tinha vaga.",eu ir empresa mulher falar vaga ternão eu frustrar.
mamãe hoje comprou frutas na feira.,mãe hoje feira comprar maçã^vário.
meu cachorro nunca comeu fubá.,meo cachorro fubá comer nunca.
o traficante fugiu da prisão.,prisão traficante fugir.
eu não gosto de ir para churrasco na casa dele por causa da fumaça.,elo churrasco casa delo gostarnão porcausa fumaça.
fumar faz mal à saúde.,fumar boo não saúde.
"aquele homem é um funcionário bom e educado, ele pode ajudar você.",homem aquelo funcionário bom educado elo poder 3sajudar2s.
a associação de surdos do rio foi fundada em maio de 1953.,associação surdo rio fundar maio 1953.
esta piscina é perigosa porque é funda.,esto piscina perigoso fundo.
ontem meu amigo morreu e hoje irei ao funeral dele.,ontem amigo morrer hoje eu ir funeral.
os cachorros fungam à procura de drogas no aeroporto.,aeroporto cachorro procurar drogas fungar.
"é difícil comprar funil de alumínio, só tem de plástico.eu não quero.",difícil comprar funil ferro só plástico eu querernão.
sempre há furacões nos estados unidos.,eua lá sempre furacão.
hoje vou furar a parede e colocar um quadro em casa.,hoje casa vou furarcommáquina quadro coisaquadradacolocar.
"ante-ontem, teve um problema no banco, uma mulher furou a fila e as pessoas reclamaram.",anteontem banco problema mulher filafurar pessoa reclamar.
ela está ficando em fúria porque você sempre a provoca.,elo fúria você porque você sempre 2sprovocar3s.
ontem eu cheguei tarde e meu pai ficou furioso!,ontem eu chegar tarde meo pai furioso!
o aluno furtou o biscoito da professora.,aluno biscoito delo professoro furtar.
lembra que no ano passado o brasil foi pentacampeão de futebol?,lembrar anopassado futebol brasil pentacampeão?
eu vi crianças sabendo jogar futivôlei na praia de copacabana.,praia copacabana eu ver criança saber futivôlei.
"no futuro, tenho vontade de trabalhar como professor.",eu futuro vontade trabalhar professoro.
"a polícia conseguiu apreender na favela fuzil, cocaína e granadas.",favela polícia conseguir fuzil cocaína granada apreender.
a polícia fuzilou pessoas da favela.,polícia pessoa favela fuzilar.
o nome dele começa com a letra g.,nome delo começar letra g.
os surdos do rio se gabaram porque foram campeões no vôlei.,surdo rio gabar campeão vôlei.
a empregada sempre pega um gafanhoto para mostrar às crianças.,empregado sempre gafanhoto pegar mostrar criança+.
o pássaro está triste porque fica preso na gaiola.,pássaro triste pássaro gaiola preso.
eles não sabem tocar gaita.,elo sabernão gaita.
a gaivota mergulhou rapidamente no mar.,mar gaivota animalmergulhar rápido.
ontem eu fui com meu amigo a uma festa de gala muito bonita.,ontem ir amigo meo festa gala bonitomuito.
"nesta manhã, a galinha botou três ovos.",manhã galinha botar ovo 3.
todos os dias o galo do vizinho canta na madrugada.,tododia madrugada galo cantargalo.
minha galocha está suja de lama.,tênis^longo meo sujar lama.
galopar em cavalo bravo é difícil.,cavalo bravo galopar difícil.
o gambá cheira mal.,gambá cheira fedor.
a ganância não é uma coisa boa.,ganância boo não.
"ele é ganancioso, só pensa em dinheiro.",elo ganancioso pensar só dinheiro.
aquele rapaz faz parte de uma gangue.,aquelo jovem gangue mau.
ganhei de presente uma roupa bonita.,eu ganhar presente roupa bonito.
o menino viu um ganso lindo.,menino 3sver3s ganso lindo.
a garagem da minha casa é grande.,casa meo garagem grande.
aquele garçon trabalha no restaurante de meu tio.,aquelo trabalhar garçom restaurante dono tio meo.
aquele restaurante tem muitas garçonetes.,restaurante aquele ter garçon mulher muito.
minha avó tem garfos de prata.,vovó meo ter garfo prata.
meu filho escorregou e eu gargalhei.,filho meo pessoaescorregar eu gargalhar.
eu vou te contar uma piada em libras que vai fazer você torcer de tanto rir.,eu libras piada você vai gargalharmuito
estou com dor de garganta.,eu garganta dor.
o gari é um profissional competente.,profissional varrer^gari competente.
ela é uma garota muito legal.,garoto elo legalmuito.
a garrafa de vidro quebrou.,vidrogarrafa quebrar.
não é bom jogar a garrafa de plástico no chão. é melhor no lixo.,plásticogarrafa jogar chão boo não melhor lixo jogar.
está um mal cheiro de gás!,cheiro gás fedor!
o preço da gasolina aumentou.,gasolina preço aumentar.
na aula de ciências foi explicado como a água que ferve se transforma em gasoso.,aula ciências professoro explicar água ferver transformar gasoso.
meu tio gasta muito dinheiro porque viaja muito.,tio meo dinheiro gastarmuito viajarcontinuativo.
ela gasta dinheiro à toa.,elo dinheiro gastar à toa.
ela freqüenta o bingo e gasta à-toa.,elo bingo frequentar gastar àtoa.
ela achou meu gato na rua.,elo achar gato meo rua.
quem é gaúcho?,nascer gaúcho qum?
a gaveta do armário tinha muitas baratas.,armário gaveta barata muito.
o gavião gosta de comer carne crua.,gavião gostar comer carne cru.
a opção dele é ser gay.,delo opção gay.
ele colocou gel no cabelo.,elo gel colocarcabelo.
meu pai comprou uma geladeira de presente para a minha mãe.,pai meo comprar frio^abrirporta 3spresentear3s mãe meo.
gelatina é muito gostosa.,gelatina gostosomuito.
ele adora geleia de morango.,elo adorar doce^manteiga morango .
bebi guaraná quente. eu quero gelo.,beber guaraná quente eu querer gelo^coisapequenaquadrada.
meu irmão não gosta de comer gema de ovo.,irmo meo gostarnão comer ovo amarelo^coisaredonda.
"vocês são gêmeos, não parece!",você2 gêmeo parecer não!
o homem gemia de dor.,homem gemer dor dente.
meu pai é general do exército.,pai meo exército general.
minha mãe é muito generosa.,mãe meo generosomuito.
meu genro se chama joão.,genro meo chamar joão.
ele foi à posse do lula e tinha muita gente.,elo ir brasilia lula posse gente muito.
você é muito gentil.,você gentilmuito.
amanhã tem prova de geografia e você precisa estudar.,amanhã prova geografia você precisar estudar.
você adorou a aula de geometria?,você adorar aula matemática^medir?
todas as gerações da família dele têm diabete.,família delo geração diabete.
o assunto foi discutido na reunião geral.,discutir reunião assunto geral.
eu não sabia que você trabalhava como gerente.,eu sabernão você trabalhar gerente?
vovó jogou água na planta e ela germinou.,vovó jogar água planta germinar.
é horrível colocar gesso no verão.,gesso colocarbraço verão horrível.
no próximo mês vou pedir minha licença gestação.,mês depois eu gestação licença.
aquela moça está em gestação de risco.,aquelo moça gestação perigoso.
"o primo dela desconhece libras, só usa gestos.",elo primo sabernão libras só gesto.
o gestuno é importante para os surdos se comunicarem no mundo.,gestuno importante comunicar surdo mundo.
os alunos sempre compram gibis.,aluno sempre comprarcontinuativo livro piada.
aquele homem é um gigante.,homem aquelo gigante.
"é preciso ter cuidado com gilete, ao raspar a barba, pois é muito perigoso e pode cortar o rosto.",cuidar coisaretangularpequnabarbear cortarrosto perigosomuito.
"eu adoro fazer ginástica, porque é bom para a saúde.",eu adorar ginástica boo saúde.
hoje minha esposa vai à ginecoligista.,hoje esposo meo ir médico ginecologia.
saber gingar é uma habilidade da mulata.,habilidade mulato gingar saber.
eu vi uma girafa bonita no zoológico.,zoológico 1sver3s girafa bonito.
quando eu era criança eu adorava brincar de girar rápido.,passado eu criança adorar brincar girarrápido.
"quando nós conversamos, ele só fala gíria.",nós conversar elo falarcontinuativo gíria só.
"a professora não gosta de giz, pois tem alergia.",professoro gostarnão giz alergia.
o glacê do bolo está gostoso!,bolo doce branco passar gostoso!
eu estou com glicose elevada.,eu doce sangue alto.
a professor mostrou o globo e explicou sobre a terra e o mar.,professoro globo explicar terra mar.
"fazendo musculação, no futuro, você vai ter o glúteo duro.",você musculação futuro glúteo duro.
minha mãe faz um doce de goiaba delicioso.,mãe meo fazer doce goiaba delicioso!
goiânia é a capital de goiás.,goiás capital goiânia.
meu irmão mudou para goiás.,irmo meo mudar goiás.
"ontem no jogo de futebol, ganhamos de dez a zero; fiz oito gols.",ontem futebol nós ganhar 100 eu gol+ 8.
meu cunhado é goleiro profissional.,cunhado meo goleiro profissional.
"na inglaterra, o gramado para golfe é perfeito.",lá inglaterra golfe grama bemfeito.
o golfinho é um mamífero inteligente.,golfinho boo inteligente.
vi um homem golpear com um pau na briga.,eu 1sver3s homem briga pau golpear.
cuidado para não engolir a goma de mascar!,gomamascar engolir não cuidado!
o homem já foi ao médico e descobriu que está com gonorréia.,homem médico descobrir eu pênis gonorréia.
"você está muito gordo, precisa parar de comer.",você gordomuito parar comermuito.
gordura demais faz mal à saúde.,gordura perigoso saúde não.
eu fui ao zoológico e vi o gorila.,eu ir ver gorila zoo.
o casal deu gorjeta ao garçom.,aquelo casal gorjeta garçom.
"estava tão frio nos estados unidos, que precisei comprar um gorro.",lá estadosunidos friomuito eu precisar comprar gorro.
você gosta de viajar?,você gostar viajar?
"o arroz está sem gosto, precisa de mais sal.",arroz faltar gosto mais sal.
sorvete de chocolate é muito gostoso.,sorvete chocolate gostosomuito.
a pia tem problema e a água goteja.,pia problema água gotejar.
"o governador de minas gerais discutiu com o presidente, devido ao atraso na liberação de verba.",governador delo minasgerais discutir presidente verba atrasado.
meu amigo trabalha no palácio do governo.,amigo meo trabalhar dentro palácio governo.
aquele palhaço é muito gozado.,palhaço aquelo gozadomuito.
aquele homem fica gozado a toda hora.,homem aquelo gozado todahora.
ontem eu fiz com ela e ela gozou muito.,ontem eu fazeramor elo gozarmuito.
"se eu sair com essa roupa, vão gozar de mim.",eu si sair roupa elo 3sgozar1s.
ele gozou da fortuna que o pai lhe deixou.,elo gozar pai delo fortuna.
acho graça como eles andam da mesma forma.,elo2 igual pessoaandar graça.
a grade da minha casa precisa ser pintada.,grade casa meo precisar pintar.
preciso pintar a grade da janela da minha casa.,grade janela casa meo precisar pintar.
eu gradeei as janelas da minha casa.,casa meo janela muito eu gradear.
a escola tem uma gráfica para treinar os alunos.,casa^estudo ter gráfica aluno treinar.
fui à papelaria comprar grafite.,eu comprar lápisgrafite loja papelaria.
esse campo de futebol tem uma grama boa.,lá campo futebol ter grama boo.
a gramática da libras é diferente da do português.,gramática libras diferente português.
"compre um grampeador, porque o meu já está velho.",você comprar grampeador meo velho.
"preciso grampear os papéis, para entregar à professora.",precisar grampear papel entregar professoro.
você tem um grampo? me empresta.,você ter grampo? emprestar.
a polícia encontrou muitas granadas na favela.,favela políca encontrar granada muito.
"eu já vi a casa de xuxa, é grande.",eu ver já casa xuxa grande.
estou precisando de duas caixas agora!,precisar caixa 2 agora!
eu estou catando feijão.,eu separar feijão grão ruim.
a entrada na associação é grátis.,associação entrada grátis.
sou grato à minha mãe que me sustentou na infância.,grato mae meo 3ssustentar1s infância.
o adolescente não completou o 1º grau.,adolescente completar não 1º grau.
"hoje, a temperatura está em grau elevado.",hoje aumentargrau calor.
eu fui ao oftalmologista verificar o grau da minha lente.,eu ir médico olho verificar grauaumentar.
meu amigo devolveu o gravador com defeito.,amigo meo coisaretangulargravar defeito devolver.
ela vai gravar a fita para você.,fita elo vai gravar.
meu pai sempre usa gravata.,pai sempre gravata.
li no jornal que houve um acidente grave na cidade.,ontem eu jornal ler lá cidade acidente grave.
ele cometeu uma falta muito grave.,amanha reuniao nós3 conversar problema grave.
eu acho bonita a mulher grávida.,eu achar mulher grávida bonito.
eu acho bonita a mulher grávida.,eu achar mulher grávida bonito.
aquela moça tem gravidez de risco.,aquelo moça gravidez perigoso.
aquela moça tem gravidez de risco.,aquelo moça gravidez perigoso.
mamãe foi à feira comprar graviola.,mae ir feira comprar graviola
a gravura do livro está ficando clara.,gravura livro claro.
eu já viajei para a grécia. foi muito bom passear lá.,eu já viajar grécia passear boomuito.
estou aprendendo o idioma grego.,eu aprender língua grego.
as pessoas estão em greve porque não houve aumento de salário.,pessoa greve salário não aumentar.
"eu vou grifar, no livro, o mais importante.",eu grifar livro importantemuito.
aquele grilhão é muito pesado.,ali grilhão pesadomuito.
o grilo pulou em cima dela e ela se assustou.,elo assustar grilopular.
"não posso tomar gelado, estou com gripe.",eu podernão tomar gelado gripe.
falei para o meu irmão não gritar.,eu 1sfalar3s irmo meo gritar não.
"eu simplesmente pedi um cigarro e o homem foi grosseiro, me xingou.",eu simples 1spedir3s 1 cigarro homem grosseiro 3sxingar1s.
o meu filho pediu para eu comprar um caderno grosso.,filho meo 3spedir1s comprar grosso caderno.
vovó faz uma vitamina grossa.,vovó delo fazer vitamina grosso.
preciso comprar grude.,precisar comprar grude.
eu não gosto de chiclete porque é muito grudento.,eu gostarnão chiclete grudentomuito.
o grupo de surdos do rio sempre se apresenta no teatro.,grupo surdo rio sempre apresentar teatro.
o menino se perdeu na gruta.,gruta menino sumir.
na gruta é escuro e é perigoso morcegos morderem as pessoas,predra gruta escuro perigoso morgeco morder.
eu gosto de beber guaraná.,eu gostar beber guaraná.
o guarda mandou parar o carro para o pedestre atravessar a rua.,guarda veículomover parar pedestreatravessar rua.
meu pai achou um guarda-chuva na rua.,pai achar guarda^chuva rua.
vovó comprou um guarda-roupa de presente para o neto.,vovó comprar coisaretangurargranderoupa 3spresente3s neto.
"preciso de um guarda-sol, porque o câncer de pele é perigoso.",praia precisar guardasol sol perigoso câncer pele.
"na festa, acabou o guardanapo de papel.",festa papel guardanapo acabar.
vou guardar meu sapato novo no armário.,sapato meo novo guardar armário.
"o mundo quer que a guerra acabe, quer sempre a paz.",mundo querer guerra acabar paz.
"deus o guiará, para você chegar bem à sua casa.",deus guiar você chegar casa bem.
o guidom da bicicleta quebrou.,bicicleta guidom quebrar.
meu amigo telefonou pois seu carro quebrou; vou guinchá-lo agora.,amigo 3stelefonar1s carro delo quebrar agora eu ir guinchar.
meu pai trabalha em um navio que tem um grande guindaste.,pai meo trabalho navio grande guindaste.
o rapaz entrou na aula de guitarra para formar seu grupo.,aula grupo rapaz guitarra formar.
você sabe que gula é feio.,você saber gula feio.
"que feio, você é guloso, precisa ser educado!",feio você guloso educado!
o nome dela começa com a letra h.,nome delo começar letra h.
o macaco habita a floresta.,macaco habitar floresta.
meu hábito é trabalhar sempre cedo.,eu hábito sempre cedo trabalhar.
minha filha gosta de comer hambúrguer.,meo filho gostar cah^objetovolumosocolocarboca.
a federação de handebol tem um campeonato.,federação sempre campeonato coisaredondarepicar^coisaredondaarremessar.
aquele casal tem uma convivência harmônica.,aquelo casal convivência harmônica.
você gosta de harmônica?,voce gostar harmônica?
gosto de harmonizar a cor do sapato com a do cinto.,gostar sapato cor cinto harmonizar.
"ontem eu vi uma harpa antiga, muito bonita!",ontem ver harpa antigo bonito!
"eu já fui no havaí, é um paraíso!",eu ir já havaí paraiso!
amanhã haverá reunião?,amanhã haver reunião?
eu nunca andei de helicóptero.,eu nunca helicópteromover.
o homem espancou a mulher e ela ficou com hematomas no peito.,homem espancar mulher roxo^objetoredondobraço.
o corte na mão foi profundo e provocou uma hemorragia.,mãocorteprofundo sangue espalhar.
pessoas com homorróidas sofrem muito.,pessoa hemorróida^cosavolumosaânus sofremuito.
aquele homem está com hepatite.,homem aquelo h^figado.
"nasci surda, porque surdez na família é hereditária.",eu nascer surdo porcausa família hereditário surdo.
meu marido sempre aparece com herpes na boca.,meo esposo aparecer coisavolumosaboca sempre.
hesitei em contar ou não aquela estória triste.,eu hesitar ou não contar estória triste.
as crianças gostam de desenhar com a caneta hidrocor.,criança+ gostar caneta^cor desenhar.
a hiena é um animal muito feio.,animal hiena feiomuito.
"na escola, existe hierarquia.",escola hierarquia existir.
vá lavar as mãos e escovar os dentes porque você precisa ter higiene.,ir lavarmãos escovardente você precisar higiene.
o hino nacional é bonito.,hino brasil bonito.
"nas olimpíadas, o brasil tirou o segundo lugar em hipismo.",brasil olimpíadas cavalo^correr ganhar 2ºlugar.
"eu vi, no circo, o homem hipnotizar uma mulher que levitou.",circo ver homem hipnotizar mulher pessoalevitar.
você viu um hipopótamo muito gordo e sujo no zoológico?,zoo você ver hipopótamo gordomuito sujo?
"meu filho adora usar roupas, colares e pulseira hippies.",filho meo adorar roupa colar pulseira hippie.
a professora de história me ensinou sobre a independência do brasil.,professo 3sensinar1s história independência brasil.
"hoje à noite, nós dois iremos ao cinema.",hoje noite nós2 ir cinema .
"o futebol do brasil não é hoje, é amanhã às 4 horas.",televisão brasil futebol amanhã não hoje hora 4.
"no ano que vem, irei à holanda com minha família.",anoquevem eu ir holanda junto família.
um amigo meu nasceu holandês.,amigo meo nascer holandeso.
aquele homem é o marido de minha amiga.,aquelo homem esposo amigo.
no brasil ainda existe preconceito com homossexual.,brasil ainda preconceito hs.
a honestidade é importante para uma amizade durar.,honestidade importante amizade durar.
"não gosto de falar mentiras, sou honesto.",gostarnão falar mentira eu honesto.
os povos do mundo precisam honrar a deus.,povo mundo precisar honrar deus.
o hóquei no gelo teve origem no canadá.,começar canadá gelo cavalo^corrida batertaco.
o patrão tem obrigação de pagar hora-extra ao empregado.,patrão obrigação 1spagar3s dinheiro empregado horaextra.
a que horas você vai encontrar sua namorada?,hora seo namorado você encontrar ?
a viagem de ônibus de são paulo ao rio de janeiro dura seis horas.,viagem ônibus são paulo rio hora 6.
ela fica muitas horas no telefone.,elo telefone horamuito.
eu quero a persiana horizontal.,eu querer persiana horizontal.
eu vi um homem cair da moto e ferir a cabeça; foi horrível.,ver homem moto pessoacair ferircabeça horrível.
o meu sonho foi um horror.,pesadelo horror.
nem todos gostam de bala de hortelã.,todo gostarnão hortelã bala.
"amanhã, vou me hospedar na casa do meu amigo.",amanhã eu 1shospedar3s casa amigo.
meu filho nasceu em um hospital particular muito bom.,filho meo nascer hospital boomuito particular.
o padre dá a hóstia para pessoas católicas.,padre colocarbocacoisaaredondadapequena católica pessoa muito.
eu vou para cabo frio e ficarei em um hotel cinco estrelas que é um luxo!,ir praia cf hotel 5 estrela luxo!
"ele é famoso e rico, mas é humilde e conversa com qualquer pessoa.",elo famoso rico mas humilde conversar qualquer pessoa.
"ela é abusada, ofendeu o meu amigo e ele ficou humilhado.",elo abusado ofender amigo meo elo humilhado.
"seu amigo é legal, você não pode humilhá-lo.","amigo seo legal, você humilhar podernão."
eu gosto de filme de humor.,gostar filme humor.
aquele homem está sempre bem humorado.,homem aquelo humorado sempre.
o nome de minha esposa começa com a letra i.,nome esposo meo começar letra i.
"eu eu nunca vi icebergs pessoalmente, só pela televisão.",gelo^objetospontiagudos eu ver nunca só tv.
"hoje você compra a passagem só de ida, ok?",hoje você comprar passagem só ida ok?
com que idade o seu avô se casou?,idade vovô seo casar?
os menores de idade não podem ver filme de terror.,filme terror idade menor podernão ver.
"minha irmã pode viajar sozinha, ela é maior de idade.",irmo meo poder viajar sozinho elo idade maior.
eu gostei da idéia dele.,eu gostar elo idéia.
"você pediu um hambúrger, eu idem.",hambúrger você pedir eu idem.
ele tem um irmão gêmeo idêntico.,elo ter irmo gêmeo idêntico.
perdi a carteira de identidade na rua.,eu rua perder identidade.
"o professor novo usa um idioma diferente, parece alemão.",professoro novo idioma diferente parecer alemão.
estou com raiva pois meu namorado falou que sou idiota.,eu raiva namorado elo falar eu idiota.
o ônibus liberou os idosos para entrarem de graça.,ônibus liberar idoso gratuito entrar.
a pessoa ignorante precisa de ajuda.,pessoa ignorante precisar ajudar.
"se ele falar mal de você, ignore.",si elo falar mal você ignorar.
eu freqüento a igreja todos os domingos.,casa^cruz eu freqüentar domingo todo.
comprei um carro novo igual ao do seu tio.,eu comprar carro novo igual seo tio.
comprei um carro novo igual ao do seu tio.,eu comprar carro novo igual seo tio.
seu filho é levado igual ao meu.,seo filho meo filho levado igual.
esse documento é ilegal.,documento esso ilegal.
a associação tinha um documento ilegal e a prefeitura proibiu a verba.,associação documento ilegal prefeitura verba proibir.
o documento da escola é ilegível e precisa ser modificado.,documento casa^estudo escrita semnitidez precisar modificar.
eu conheci uma ilha linda!,eu já conhecer lá ilha lindo!
"você precisa iluminar a sua casa, está tão escura que não dá para ver.",precisar seo casa iluminar escuro vernão.
adoro livro com ilustração!,adorar livro ilustração!
"você ilustrou muito bem o livro, fiquei admirado!",você livro ilustrar perfeito eu admirado!
está fofa a imagem de meu filho na foto.,filho meo foto imagem fofo.
minha amiga está imaginando como irá decorar a casa dela.,amigo meo imaginar como decorar casa delo.
minha filha está doente e precisa ir ao médico imediatamente.,meo filho doente precisar imediatamente médico.
a amazonas tem imensa floresta bonita.,amazonas floresta imenso bonito.
nas férias passada eu imergi em uma praia limpa com muitos peixes.,passado férias eu imergir praia limpo peixe muito peixenadar.
você gosta de imitar as pessoas.,você gostar pessoa imitar.
vocês dois brigaram ontem e eu fiquei imparcial.,você2 brigar ontem eu imparcial.
"o professor vai brigar com você, mas eu vou tentar impedir.",professoro vai 3sbrigar2s eu tentar impedir.
antigamente os imperadores do brasil eram d. pedro i e d. pedro ii.,pedro primeiro pedro segundo antigamente imperador brasil
"não gostei da obra na minha casa, ela ficou imperfeita.",casa obra eu gostarnão imperfeito.
o império no brasil acabou no ano de 1889.,império brasil acabar passado 1889.
os surdos adultos são contra o implante coclear.,surdo adulto contra implantecoclear.
"eu imploro: devolva meu livro, preciso estudar!",eu implorar devolver livro meo precisar estudar!
"o pai que impõe à sua filha casar com homem rico, está errado.",pai impor filho casar homem rico errado.
meu tio comprou um carro importado.,carro importado meo tio comprar já.
eu sonho ganhar muito dinheiro para importar um carro.,eu sonho carro importar dinheiro ganhar bem.
"meu filho está estudando para a prova, favor não importunar.",meo filho estudar prova favor importunar não.
você vai comprar carro!? impossível! onde irá conseguir dinheiro?,você vai comprar carro!? impossível! onde conseguir dinheiro?
"o imposto no shopping center é alto, não consegui alugar uma loja.",shopping imposto alto eu conseguirnão loja alugar.
o homem com problema de impotência precisa ir ao médico.,homem problema impotência precisar ir médico.
"eu pego todas as latas e você imprensa, ok?",lata todo eu pegar você imprensar ok?
"se a pessoa não sabe assinar o nome, não tem problema, pode deixar uma impressão digital.",pessoa sabernão nome assinar problema ternão poder impressãodigital.
"é impressionante, o governo conseguiu acabar com o analfabetismo!",impressionante governo conseguir acabar analfabeto!
eu me impressionei vendo uma criança surda dançar tão perfeito.,eu ver criança surdo dançar perfeitomuito eu impressionar.
eu preciso comprar uma impressora.,eu precisar comprar impressora.
"por favor, imprima o ofício, preciso entregá-lo amanhã.",porfavor imprimir ofício amanhã precisar 1sentregar3s.
"eu preciso imprimir urgente, para ficar pronto em duas semanas.",eu urgente precisar imprimir pronto 2 semana.
agora a praia tem muitas impurezas por causa do vazamento dos esgotos.,praia agora muito impureza porcausa esgoto vazamento.
"a casa do meu amigo é imunda, eu nunca irei lá.",amigo casa imundo eu nuncamais casa ir.
"o médico mandou a criança doente inalar todos os dias, com o nebulizador.",criança doente médico mandar inalar nebulizador tododia.
meu irmão inaugurou uma nova loja.,irmo meo inaugurar loja novo.
"você é doido, quer incendiar casa antiga!",você doido querer incendiar casa antigo!
o incêndio de ontem foi horrível e os bombeiros demoraram duas horas para acabar com ele.,ontem incêndio horrível bombeiro demorar acabar 2hora.
fui ontem à casa da minha amiga e havia um cheiro de incenso muito bom.,ontem eu ir casa amigo eu cheiro incenso boomuito.
nós precisamos incentivar os surdos a estudar na faculdade.,precisar nós incentivar surdo estudar faculdade.
"a criança torceu o pé, ele inchou e ela chorou muito.",criança pétorcer inchar chorarmuito.
na casa do vizinho incineram o lixo e o cheiro foi horrível.,casa vizinho lixo fósforo acenderfogo cheiro horrível.
ela me ajudou a inclinar a poltrona que estava dura.,ontem elo 3sajudar1s poltrona duro inclinar.
você comprou uma roupa que tem um brinco grátis incluído.,você comprar roupa ter incluindo brinco grátis.
a escola vai incluir vários deficientes.,casa^estudo vai incluir deficiente vário.
"o governo acha que a inclusão é importante, mas os surdos não a querem.","inclusão casa^estudo governo achar importante, mas surdo querernão."
"meu primo comprou uma máquina de fotografia barata, com pilhas grátis inclusas.",primo comprar máquinafotográfica barato pilha incluso grátis.
"o teto tem furo e a água da chuva pinga, formando uma poça que me incomoda.",teto ter furo chuva água pingar eu incomodar.
há frases na libras em que a preposição está incorporada ao verbo.,libras frase+ preposição verbo incorporado.
o aluno novo é inculto porque a escola anterior foi fraca e nada ensinou.,aluno novo inculto porcausa anterior casa^estudo fraco ensinar nada.
"eu vou comprar um carro, mas estou indeciso: qual escolher?",eu comprar carro indeciso escolher qual?
"a independência do brasil, no dia sete de setembro, é sempre feriado.",independência brasil dia 7 setembro sempre feriado.
"completei 18 anos, agora sou independente.",eu já idade 18 agora eu independente.
um amigo meu indiano quer morar mo brasil.,amigo meo indiano querer morar brasil.
ele perdeu o dedo indicador por causa do trabalho na fábrica.,dedoindicador elo perder porcausa trabalho fábrica.
eu indico a você um bom professor.,eu indicar medico boo você querer?
"meu marido é indiferente, não se preocupa com nada.",meo esposo indiferente preocupar nada.
eu tive indigestão porque comi com exagero.,eu indigestão ontem comermuito exagerado.
"esse aluno é indiscreto, sempre entra no banheiro das mulheres.",esso aluno indiscreto banheiro mulher sempre entrar.
eu recebi um convite individual para o casamento da minha amiga.,eu receber convite individual amigo meo casamento.
o diretor da escola é um indivíduo especial que sempre ajuda os alunos.,diretoro casa^estudo indivíduo especial sempre 3sajudar3s aluno.
vou levar meus filhos para ver o teatro infantil.,eu levar filho ver teatro infantil.
a avó está infeliz porque seu neto foi embora.,vovó infeliz neto embora.
"ele é chefe superior da marinha, meu pai é inferior.",elo marinha chefe superior meo pai inferior.
"você nunca foi à igreja, por isso vai para o inferno.",você nunca ir igreja descer inferno.
a inflação no brasil sempre é alta.,inflação brasil sempre alto
"eu estava jogando futebol e meu amigo deu uma pancada no meu pé, que inflamou.",ontem eu jogarfutebol amigo pancadaperna pé inflamar.
minha mãe me influenciou para estudar na faculdade.,mãe 2sinfluenciar1s eu estudar faculdade.
